country,year,female_lfp,fertility,gdppc
Niger,1990,24.5,7.721,387.367498270459
Nigeria,1990,39,6.49,1369.44373189587
Norway,1990,55.2000007629395,1.93,60285.494901102
Oman,1990,17.2999992370605,7.164,14903.16699167
Pakistan,1990,13.3999996185303,6.024,742.290721397905
Panama,1990,38.9000015258789,3.057,4023.19883525876
Papua New Guinea,1990,70.9000015258789,4.802,1052.28582671235
Paraguay,1990,53.5999984741211,4.547,2671.12536731416
Peru,1990,46,3.828,2679.27092641711
Philippines,1990,47.9000015258789,4.32,1525.81267421356
Poland,1990,55.2000007629395,2.06,5947.45971614502
Portugal,1990,49,1.56,16688.2586329889
Puerto Rico,1990,30.5,2.219,19393.2061366772
Qatar,1990,41.5999984741211,4.016,NA
Romania,1990,51.5999984741211,1.83,5345.85432763235
Russian Federation,1990,59.5999984741211,1.89,9534.49562145996
Rwanda,1990,88.9000015258789,7.291,354.335771842355
Samoa,1990,40,5.118,2383.65371110697
Sao Tome and Principe,1990,36.4000015258789,5.82,NA
Saudi Arabia,1990,14.3999996185303,5.904,14979.9409624561
Senegal,1990,62.0999984741211,6.63,849.239571269847
Serbia,1990,44.2999992370605,NA,NA
Sierra Leone,1990,63.2999992370605,6.669,456.574023339343
Singapore,1990,50.7000007629395,1.865,22178.4893943358
Slovak Republic,1990,58.9000015258789,2.09,NA
Slovenia,1990,47.7999992370605,1.46,NA
Solomon Islands,1990,52.7000007629395,5.851,1279.40533885766
South Africa,1990,39.4000015258789,3.658,6336.45417511039
Spain,1990,33.7999992370605,1.36,22475.8673370416
Sri Lanka,1990,36.4000015258789,2.483,1206.92378464276
St. Lucia,1990,57.2999992370605,3.398,5269.07988169729
St. Vincent and the Grenadines,1990,44.2000007629395,2.956,3504.38361677901
Sudan,1990,27.2999992370605,6.153,769.036540683611
Suriname,1990,43.5,3.282,6149.48963459281
Swaziland,1990,41.9000015258789,5.744,2756.75710799038
Sweden,1990,62.4000015258789,2.13,37513.2055854345
Switzerland,1990,56,1.58,63881.6878577433
Tajikistan,1990,58.0999984741211,5.175,1274.31700972964
Tanzania,1990,86.9000015258789,6.213,494.229595250867
Thailand,1990,76,2.113,2502.73967635938
Timor-Leste,1990,41.5,5.34,NA
Togo,1990,66.5999984741211,6.324,545.205808463119
Tonga,1990,35.9000015258789,4.644,2544.18077851508
Trinidad and Tobago,1990,38.5999984741211,2.453,6540.69285904639
Tunisia,1990,20.8999996185303,3.38,2248.88562131332
